"Date","Desktop","Mobile"
2011,93.91,6.09
2012,89.12,10.88
2013,82.98,17.02
2014,71.03,28.97
2015,62.76,37.24
2016,54.09,45.91
2017,45.91,54.09
2018,46.99,53.01
2019,47.74,52.26
2020,46.93,53.07
2021,43.47,56.53
2022,40.34,59.66
